FID,OBJECTID,id,previousId,eventDate,year_,month_,day_,country,countryCod,stateProvi,county,locality,verbatimLo,decimalLat,decimalLon,geodeticDa,scientific_name,kingdom,phylum,class,order_,family,genus,specificEp,taxonRank,scientif_1,vernacular
535,22965,URN:catalog:CLO:EBIRD:OBS627736540,Brotogeris jugularis,2018-06-03,2018,6,3,Colombia,CO,Cesar,Manaure Balcón del Cesar,"Balcón Del Cesar, Cesar, CO (10.389, -73.025)","CO | Cesar | Balcón Del Cesar, Cesar, CO (10.389, -73.025)",10.3887,-73.0248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
536,23119,URN:catalog:CLO:EBIRD:OBS379247564,Brotogeris jugularis,2016-02-07,2016,2,7,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
539,23363,URN:catalog:CLO:EBIRD:OBS663151010,Brotogeris jugularis,2018-09-29,2018,9,29,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
540,23441,URN:catalog:CLO:EBIRD:OBS829478543,Brotogeris jugularis,2019-11-16,2019,11,16,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
549,23959,URN:catalog:CLO:EBIRD:OBS828469098,Brotogeris jugularis,2019-11-14,2019,11,14,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
553,24220,URN:catalog:CLO:EBIRD:OBS678964437,Brotogeris jugularis,2018-11-22,2018,11,22,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Zona Baja,CO | Cesar | Ecoparque Los Besotes--Zona Baja,10.553,-73.2362,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
555,24301,URN:catalog:CLO:EBIRD:OBS612534668,Brotogeris jugularis,2018-05-05,2018,5,5,Colombia,CO,La Guajira,Albania,Reserva Forestal Protectora Regional Montes de Oca,CO | La Guajira | Reserva Forestal Protectora Regional Montes de Oca,11.1523,-72.4454,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
558,24421,URN:catalog:CLO:EBIRD:OBS464893633,Brotogeris jugularis,2017-02-08,2017,2,8,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
559,24450,URN:catalog:CLO:EBIRD:OBS372443826,Brotogeris jugularis,2016-02-07,2016,2,7,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
574,25140,URN:catalog:CLO:EBIRD:OBS369331634,Brotogeris jugularis,2015-06-18,2015,6,18,Colombia,CO,Cesar,Manaure Balcón del Cesar,"10.3898x-73.0198 - Jun 18, 2015, 5:23 AM","CO | Cesar | 10.3898x-73.0198 - Jun 18, 2015, 5:23 AM",10.3898,-73.0198,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
575,25147,URN:catalog:CLO:EBIRD:OBS318609267,Brotogeris jugularis,2015-05-09,2015,5,9,Colombia,CO,Cesar,La Paz,Chamicero del Perijá Proaves Reserve,CO | Cesar | Chamicero del Perijá Proaves Reserve,10.3627,-72.9492,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
576,25160,URN:catalog:CLO:EBIRD:OBS369332028,Brotogeris jugularis,2015-06-13,2015,6,13,Colombia,CO,La Guajira,Riohacha,"11.5558x-72.8985 - Jun 13, 2015, 3:03 PM","CO | La Guajira | 11.5558x-72.8985 - Jun 13, 2015, 3:03 PM",11.5558,-72.8985,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
577,25248,URN:catalog:CLO:EBIRD:OBS544198290,Brotogeris jugularis,2017-10-14,2017,10,14,Colombia,CO,La Guajira,Villanueva,"Sierra Negra , La Guajira, CO (10.533, -72.94)","CO | La Guajira | Sierra Negra , La Guajira, CO (10.533, -72.94)",10.5329,-72.9403,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
582,25475,URN:catalog:CLO:EBIRD:OBS829870516,Brotogeris jugularis,2019-11-18,2019,11,18,Colombia,CO,Cesar,Manaure Balcón del Cesar,Coffee plantations above Danta.,CO | Cesar | Coffee plantations above Danta.,10.3851,-73.0134,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
586,25758,URN:catalog:CLO:EBIRD:OBS744851340,Brotogeris jugularis,2019-04-01,2019,4,1,Colombia,CO,Cesar,Manaure Balcón del Cesar,"Perija Road - Lower, Golden-winged Sparrow spot","CO | Cesar | Perija Road - Lower, Golden-winged Sparrow spot",10.3885,-73.0084,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
589,26014,URN:catalog:CLO:EBIRD:OBS476378302,Brotogeris jugularis,2017-03-17,2017,3,17,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Brotogeris jugularis,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,Especie,"(Statius Muller, 1776)",Orange-chinned Parakeet
