FID,OBJECTID,id,previousId,eventDate,year_,month_,day_,country,countryCod,stateProvi,county,locality,verbatimLo,decimalLat,decimalLon,geodeticDa,scientific_name,kingdom,phylum,class,order_,family,genus,specificEp,taxonRank,scientif_1,vernacular
663,29341,URN:catalog:CLO:EBIRD:OBS809236566,Ara militaris,2019-06-01,2019,6,1,Colombia,CO,La Guajira,Fonseca,Sierra de Perija— Fonseca,CO | La Guajira | Sierra de Perija— Fonseca,10.7178,-72.7291,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
669,29616,URN:catalog:CLO:EBIRD:OBS751371832,Ara militaris,2019-05-04,2019,5,4,Colombia,CO,Cesar,Manaure Balcón del Cesar,Vereda Casagrande,CO | Cesar | Vereda Casagrande,10.3914,-73.0108,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
683,30189,URN:catalog:CLO:EBIRD:OBS829453698,Ara militaris,2019-11-16,2019,11,16,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Campamento Base,CO | Cesar | Ecoparque Los Besotes--Campamento Base,10.5734,-73.248,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
686,30232,URN:catalog:CLO:EBIRD_COL:OBS646864755,Ara militaris,2018-06-05,2018,6,5,Colombia,CO,Cesar,Manaure Balcón del Cesar,"Los Tananeos, Manaure","CO | Cesar | Los Tananeos, Manaure",10.386,-73.0546,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
702,30767,URN:catalog:CLO:EBIRD:OBS744911699,Ara militaris,2019-04-20,2019,4,20,Colombia,CO,Cesar,Manaure Balcón del Cesar,Vereda Canadá,CO | Cesar | Vereda Canadá,10.3718,-73.0073,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
723,31651,URN:catalog:CLO:EBIRD:OBS751908034,Ara militaris,2019-05-04,2019,5,4,Colombia,CO,La Guajira,Hatonuevo,"(11,067, -72,767)","CO | La Guajira | (11,067, -72,767)",11.0672,-72.7668,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
732,32171,URN:catalog:CLO:EBIRD_COL:OBS685261070,Ara militaris,2018-12-08,2018,12,8,Colombia,CO,Cesar,Valledupar,"Ecoparque Los Besotes - (10.567, -73.253)","CO | Cesar | Ecoparque Los Besotes - (10.567, -73.253)",10.567,-73.2528,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
748,32846,URN:catalog:CLO:EBIRD:OBS900388804,Ara militaris,2013-02-08,2013,2,8,Colombia,CO,Cesar,Valledupar,Ecoparque Los Besotes--Zona Baja,CO | Cesar | Ecoparque Los Besotes--Zona Baja,10.553,-73.2362,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
749,32945,URN:catalog:CLO:EBIRD:OBS467023076,Ara militaris,2016-10-31,2016,10,31,Colombia,CO,Cesar,Manaure Balcón del Cesar,RN Los Tananeos,CO | Cesar | RN Los Tananeos,10.3878,-73.0561,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
766,33900,URN:catalog:CLO:EBIRD:OBS818721372,Ara militaris,2019-10-19,2019,10,19,Colombia,CO,Cesar,Manaure Balcón del Cesar,Chilapacha,CO | Cesar | Chilapacha,10.3973,-73.0456,WGS84,Ara militaris,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Ara,militaris,Especie,"(Linnaeus, 1766)",Military Macaw
